,Industry_code_NZSIOC,Year,Additions to fixed assets,Closing stocks,Current assets,Current liabilities,Current ratio,Depreciation,Disposals of fixed assets,Fixed tangible assets,"Government funding, grants and subsidies",Indirect taxes,Interest and donations,"Interest, dividends and donations",Liabilities structure,Non-operating expenses,Non-operating income,Opening stocks,Other assets,Other liabilities,Other purchases and operating expenses,Purchases and other operating expenses,Purchases of goods bought for resale,Quick ratio,Redundancy and severance,Return on equity,Return on total assets,Salaries and wages paid,Sales of goods not further processed,Sales of other goods and services,Shareholders funds or owners equity,Surplus before income tax,Surplus per employee count,Total assets,Total equity and liabilities,Total expenditure,Total income,Total income per employee count(3),Liability,Leverage ratio
180,FF,2013,1015.0,9578.0,27036.0,18832.0,144.0,649.0,401.0,3892.0,8.0,306.0,452.0,372.0,36.0,672.0,455.0,9151.0,7338.0,5671.0,11632.0,0.0,60902.0,93.0,28.0,21.0,7.0,5987.0,74312.0,3938.0,13763.0,2851.0,29100.0,10.552317052444948,38266.0,80599.0,83024.0,846700.0,24503.0,1.780353120685897
181,FF,2014,1198.0,10157.0,29393.0,19849.0,148.0,653.0,516.0,4238.0,9.0,299.0,487.0,399.0,37.0,557.0,430.0,9843.0,7113.0,5925.0,12112.0,0.0,64378.0,97.0,31.0,24.0,9.0,6334.0,79048.0,4081.5,14970.0,3542.0,35200.0,10.615063868564441,40744.0,84820.0,88049.0,874800.0,25774.0,1.7217100868403474
182,FF,2015,1201.0,11087.0,30439.0,20430.0,149.0,703.0,407.0,4628.0,8.0,334.0,529.0,381.0,39.0,559.0,469.0,10285.0,8261.0,5833.0,12657.0,0.0,65849.0,95.0,28.0,24.0,10.0,6702.0,80916.0,4439.5,17066.0,4124.0,40200.0,10.676554356271946,43328.0,87332.0,90653.0,884400.0,26263.0,1.538907769834759
183,FF111,2013,257.0,1848.0,5435.0,3342.0,163.0,143.0,93.0,1088.0,1.0,42.0,80.0,50.0,38.0,95.0,72.0,1792.0,1027.0,1346.0,2664.0,0.0,13021.0,107.0,4.0,17.0,6.0,992.0,15679.0,833.0,2862.0,488.0,29900.0,8.92930284224307,7550.0,17037.0,17468.0,1071000.0,4688.0,1.6380153738644305
184,FF111,2014,286.0,1950.0,5806.0,3567.0,163.0,139.0,109.0,1116.0,18.130841121495326,41.0,86.0,41.0,39.0,83.0,514.2264150943396,1898.0,1075.0,1275.0,3070.0,0.0,14114.0,108.0,4.0,20.0,8.0,1100.0,17305.0,912.0,3154.0,646.0,36900.0,8.98669669562029,7996.0,18633.0,19228.0,1096500.0,4842.0,1.5351934051997465
185,FF111,2015,302.0,2123.0,6127.0,3972.0,154.0,150.0,90.0,1257.0,4.0,41.0,91.0,33.0,41.0,124.0,69.0,1967.0,1331.0,1139.0,3043.0,0.0,14665.0,101.0,5.0,20.0,8.0,1235.0,17807.0,996.5,3604.0,711.0,38400.0,9.07280095795412,8715.0,19349.0,19905.0,1075100.0,5111.0,1.4181465038845726
186,FF112,2013,360.0,2449.0,6596.0,5754.0,115.0,192.0,130.0,841.0,2.0,53.0,134.0,119.0,29.0,208.0,129.0,2357.0,2564.0,1385.0,2347.0,0.0,11159.0,72.0,10.0,27.0,8.0,2111.0,14012.0,1308.0,2862.0,766.0,25000.0,9.210440366976517,10001.0,16204.0,16878.0,551400.0,7139.0,2.494409503843466
187,FF112,2014,364.0,2576.0,7571.0,5296.0,143.0,189.0,129.0,921.0,1.0,51.0,146.0,159.0,36.0,151.0,113.0,2659.0,2339.0,1590.0,2555.0,0.0,11677.0,94.0,9.0,22.0,8.0,2206.0,15083.0,1282.5,3946.0,862.0,27300.0,9.290259995152056,10832.0,16975.0,17921.0,567900.0,6886.0,1.7450582868727826
188,FF112,2015,352.0,2903.0,7229.0,5088.0,142.0,225.0,130.0,1065.0,0.0,56.0,170.0,109.0,38.0,149.0,113.0,2704.0,2911.0,1888.0,2774.0,0.0,11932.0,85.0,12.0,23.0,9.0,2308.0,15415.0,1372.0,4229.0,967.0,31000.0,9.324115386235027,11205.0,17614.0,18381.0,589800.0,6976.0,1.6495625443367226
189,FF113,2013,69.0,1420.0,2921.0,1921.0,152.0,34.0,34.0,280.0,0.0,17.0,48.0,32.0,34.0,53.0,21.0,1272.0,316.0,384.0,668.0,0.0,5403.0,78.0,7.034188034188034,22.0,8.0,393.0,6459.0,111.0,1211.0,266.0,40600.0,8.165079258805068,3516.0,6616.0,6734.0,1027300.0,2305.0,1.9033856317093312
190,FF113,2014,77.0,1664.0,3286.0,2166.0,152.0,34.0,31.0,290.0,0.0,18.0,46.0,33.0,35.0,63.0,25.0,1438.0,327.0,385.0,784.0,0.0,5899.0,75.0,1.0,28.0,10.0,427.0,7035.0,164.5,1352.0,379.0,55600.0,8.269500767180615,3903.0,7270.0,7423.0,1089000.0,2551.0,1.8868343195266273
191,FF113,2015,77.0,1856.0,3601.0,2421.0,149.0,39.0,21.0,329.0,0.0,15.0,49.0,37.0,36.0,70.0,13.0,1662.0,344.0,307.0,787.0,0.0,6505.0,72.0,0.0,26.0,10.0,449.0,7720.0,179.0,1547.0,408.0,57200.0,8.360539381370861,4275.0,7914.0,8128.0,1138600.0,2728.0,1.7634130575307045
192,FF114,2013,151.0,1716.0,5129.0,4093.0,125.0,139.0,28.0,973.0,0.0,156.0,87.0,85.0,31.0,115.0,150.0,1657.0,1547.0,1204.0,3274.0,0.0,22854.0,83.0,7.034188034188034,20.0,6.0,1012.0,25786.0,1019.5,2353.0,482.0,25100.0,8.942330199321866,7649.0,27637.0,28059.0,1463600.0,5297.0,2.2511687207819806
193,FF114,2014,228.0,1781.0,5754.0,4506.0,128.0,133.0,63.0,1064.0,0.0,147.0,98.0,94.0,29.0,98.0,161.0,1737.0,1394.0,1319.0,3059.0,0.0,23868.0,88.0,10.0,24.0,7.0,1080.0,26790.0,986.5,2386.0,580.0,30100.0,9.013351778138825,8212.0,28483.0,29020.0,1508300.0,5825.0,2.4413243922883487
